2020-11-18 12:10:02.571 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 6512 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 12:10:02.575 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 12:10:06.607 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 4.379 seconds (JVM running for 5.245)
2020-11-18 12:10:14.041 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 2336 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 12:10:14.046 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 12:10:35.592 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 6344 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 12:10:35.596 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 12:10:39.540 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 4.272 seconds (JVM running for 5.196)
2020-11-18 14:34:07.510 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Starting LibraryProjectApplication on PC7 with PID 6936 (C:\Users\Administrator\Desktop\git repo\library-project\target\classes started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
2020-11-18 14:34:07.514 [restartedMain] INFO  com.wyu.LibraryProjectApplication - No active profile set, falling back to default profiles: default
2020-11-18 14:34:11.442 [restartedMain] INFO  com.wyu.LibraryProjectApplication - Started LibraryProjectApplication in 4.275 seconds (JVM running for 5.234)
2020-11-18 15:06:32.252 [main] INFO  com.wyu.BookTest - Starting BookTest on PC7 with PID 7112 (started by Administrator in C:\Users\Administrator\Desktop\git repo\library-project)
